XID,P_ANY,P_I,SERVS_RA,SERVS_DEC,VIDEO_RA,VIDEO_DEC,CFHTLS_RA,CFHTLS_RA,HSC_RA,HSC_DEC,SERVS_ID,VIDEO_ID,CFHT_ID,HSC_ID,SERVS_SEP,VIDEO_SEP,CFHT_SEP,HSC_SEP,SERVS_MAG1,SERVS_MAG2,SERVS_MAG1_ERR,SERVS_MAG2_ERR,VIDEO_YMAG,VIDEO_YMAGERR,VIDEO_JMAG,VIDEO_JMAGERR,VIDEO_HMAG,VIDEO_HMAGERR,VIDEO_KSMAG,VIDEO_KSMAGERR,CFHT_UMAG,CFHT_UMAGERR,CFHT_GMAG,CFHT_GMAGERR,CFHT_RMAG,CFHT_RMAGERR,CFHT_IMAG,CFHT_IMAGERR,CFHT_ZMAG,CFHT_ZMAGERR,HSC_GMAG,HSC_GMAGERR,HSC_RMAG,HSC_RMAGERR,HSC_IMAG,HSC_IMAGERR,HSC_ZMAG,HSC_ZMAGERR,HSC_YMAG,HSC_YMAGERR,MATCH_FLAG
XMM00000,0.002806673524901271,0.9220876693725586,34.199180603027344,-4.0363545417785645,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,701845.0,-99,-99,-99,5.42877721786499,-99.0,-99.0,-99.0,19.31751303405769,19.031835062388417,0.008669480265365945,0.008469472526819828,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1
XMM00001,0.9986711740493774,0.990684986114502,34.20042037963867,-4.933221340179443,34.2004280090332,-4.933253288269043,34.200435638427734,34.200435638427734,34.20039367675781,-4.93324613571167,408032.0,644246149826,1114_171196,37485121644815869,2.123701333999634,2.004948139190674,2.0113327503204346,2.0913188457489014,19.35845065705363,19.094175305200572,0.006529289394464945,0.007000262116349208,21.2863883972168,0.01633407361805439,-99.0,-99.0,20.55437469482422,0.01353500783443451,20.172142028808594,0.011387786827981472,22.278, 0.014,21.917, 0.006,21.907, 0.010,-99.0,-99.0,21.461, 0.021,22.068931600000003,0.00480163377,21.959137,0.00782835204,-99.0,-99.0,21.4817886,0.00639334228,21.401397699999997,0.0133046256,1
XMM00002,0.9923406839370728,0.979546844959259,34.202030181884766,-5.5567097663879395,34.20193099975586,-5.556687831878662,34.20197677612305,34.20197677612305,34.201942443847656,-5.556700706481934,162933.0,644245967165,1114_017717,37485108759910516,2.0720744132995605,1.7201175689697266,1.877969741821289,1.7546964883804321,19.718166319015772,19.802246756719605,0.011987933060569916,0.016063233829948804,20.122966766357425,0.010995048098266123,-99.0,-99.0,19.61296272277832,0.009615757502615452,19.360618591308594,0.008600899949669838,23.188, 0.028,22.388, 0.009,21.334, 0.007,-99.0,-99.0,20.539, 0.009,22.198158300000003,0.00526050711,21.107086199999998,0.00321794744,-99.0,-99.0,20.193866699999997,0.00339961215,19.9876823,0.0061207562699999996,1
XMM00003,0.9919203519821167,0.9870724678039551,34.20112609863281,-4.498703479766846,34.20117950439453,-4.498709201812744,34.20120620727539,34.20120620727539,34.2011833190918,-4.498716354370117,595262.0,644246286360,1105_044095,37485134529712709,2.5138778686523438,2.4070403575897217,2.3572843074798584,2.383474826812744,18.955699552774284,18.911847786768128,0.006350749814835544,0.00724263706241043,20.475160598754886,0.012141411192715168,-99.0,-99.0,19.97020149230957,0.011569294147193432,19.566017150878906,0.009223018772900105,22.027, 0.012,21.907, 0.006,21.760, 0.010,-99.0,-99.0,20.907, 0.013,21.6286602,0.00288628531,21.479494100000004,0.004155133389999999,-99.0,-99.0,20.7228985,0.00386047107,20.533021899999998,0.0067798011,1
XMM00004,0.9936938881874084,0.9877028465270996,34.20243835449219,-4.5553107261657715,34.20246124267578,-4.555304050445557,34.20246887207031,34.20246887207031,34.20243453979492,-4.555315017700195,571059.0,644246268652,1105_032861,37485130234751017,1.9158744812011719,2.0037436485290527,2.0015926361083984,1.8985415697097778,18.817769889480225,18.899094106925823,0.006092294532085842,0.004611860283672852,19.09514045715332,0.006177589297294618,-99.0,-99.0,18.57135581970215,0.005436171777546407,18.369070053100586,0.004980858881026506,22.341, 0.015,21.702, 0.005,20.569, 0.004,-99.0,-99.0,19.797, 0.005,21.0267754,0.0037620689299999997,19.9027786,0.00237964513,-99.0,-99.0,18.8892727,0.00243930309,18.813602399999997,0.00441322848,1
XMM00005,0.6445463299751282,0.993911862373352,-99.0,-99.0,-99.0,-99.0,34.20349884033203,34.20349884033203,34.203460693359375,-5.690120697021484,-99.0,-99,1123_209193,37485104464927930,-99.0,-99.0,3.7226688861846924,3.651319742202759,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,21.847, 0.010,21.706, 0.005,22.111, 0.011,-99.0,-99.0,21.483, 0.017,22.966728200000002,0.008180771020000002,23.002746600000002,0.0139271468,-99.0,-99.0,22.6787663,0.0205889568,22.8038826,0.0646705329,1
XMM00006,0.035680245608091354,0.31380048394203186,34.20281982421875,-4.315239906311035,34.20284652709961,-4.315213680267334,34.202823638916016,34.202823638916016,34.20282745361328,-4.315208435058594,647512.0,644246338512,1105_084654,38549431720610501,1.643999457359314,1.5723682641983032,1.6394336223602295,1.6359354257583618,22.226818356179272,22.38680753657875,0.10749434575477536,0.12380294338986723,23.887779235839844,0.06649067997932434,-99.0,-99.0,22.84638214111328,0.07105045020580293,23.19348907470703,0.07204273343086243,25.335, 0.189,24.911, 0.091,24.540, 0.115,-99.0,-99.0,26.341, 1.909,24.555416100000002,0.0347347558,24.3722038,0.058550860700000006,-99.0,-99.0,23.7389526,0.0549536683,23.7025547,0.14867387699999998,1
XMM00007,0.019575899466872215,0.1928553730249405,-99.0,-99.0,34.204071044921875,-5.433063507080078,-99.0,-99.0,-99.0,-99.0,-99.0,644246003165,-99,-99,-99.0,2.8602957725524902,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,24.63374900817871,0.2356431633234024,-99.0,-99.0,22.85027885437012,0.10063008964061736,22.054893493652344,0.0559048131108284,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2
XMM00007,0.019575899466872215,0.3339003026485443,-99.0,-99.0,34.20317077636719,-5.433629035949707,-99.0,-99.0,-99.0,-99.0,-99.0,644246382177,-99,-99,-99.0,2.1546132564544678,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,22.413623809814453,0.058570116758346565,-99.0,-99.0,22.14547348022461,0.059008922427892685,21.589378356933594,0.041378069669008255,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1
XMM00007,0.019575899466872215,0.1743175983428955,-99.0,-99.0,34.204063415527344,-5.4342756271362305,-99.0,-99.0,-99.0,-99.0,-99.0,644246413618,-99,-99,-99.0,2.081770896911621,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,23.191251754760746,0.0943491980433464,22.53523826599121,0.057993646711111076,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,2
